Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
5,046875E+2	-5,793784E-1	5,046875E+2	-1,331391E+0	5,046875E+2	2,943152E+0	5,046875E+2	-1,125648E-1
5,062500E+2	-5,751323E-1	5,062500E+2	-1,446867E+0	5,062500E+2	2,858316E+0	5,062500E+2	-1,578593E-1
5,078125E+2	-6,085666E-1	5,078125E+2	-1,443202E+0	5,078125E+2	2,740102E+0	5,078125E+2	-2,128817E-1
5,093750E+2	-6,496494E-1	5,093750E+2	-1,452728E+0	5,093750E+2	2,621625E+0	5,093750E+2	-2,741230E-1
5,109375E+2	-7,939893E-1	5,109375E+2	-1,448614E+0	5,109375E+2	2,481131E+0	5,109375E+2	-2,883929E-1
5,125000E+2	-9,350887E-1	5,125000E+2	-1,458992E+0	5,125000E+2	2,341237E+0	5,125000E+2	-3,125513E-1
5,140625E+2	-1,214103E+0	5,140625E+2	-1,490852E+0	5,140625E+2	2,233063E+0	5,140625E+2	-2,335889E-1
5,156250E+2	-1,473854E+0	5,156250E+2	-1,534509E+0	5,156250E+2	2,124991E+0	5,156250E+2	-1,741370E-1
5,171875E+2	-1,447918E+0	5,171875E+2	-1,538325E+0	5,171875E+2	2,061122E+0	5,171875E+2	-9,755368E-2
5,187500E+2	-1,457461E+0	5,187500E+2	-1,569626E+0	5,187500E+2	1,994724E+0	5,187500E+2	-4,145740E-2
5,203125E+2	-1,317758E+0	5,203125E+2	-1,495360E+0	5,203125E+2	1,962305E+0	5,203125E+2	-3,696085E-2
5,218750E+2	-1,235597E+0	5,218750E+2	-1,473022E+0	5,218750E+2	1,924439E+0	5,218750E+2	-4,665292E-2
5,234375E+2	-1,158045E+0	5,234375E+2	-1,271922E+0	5,234375E+2	1,912673E+0	5,234375E+2	-1,247595E-1
5,250000E+2	-1,116095E+0	5,250000E+2	-1,161083E+0	5,250000E+2	1,892995E+0	5,250000E+2	-2,071795E-1
