Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,375000E+2	6,297742E+1	4,375000E+2	7,370618E+1	4,375000E+2	8,448749E+1	4,375000E+2	9,401025E+1	4,375000E+2	1,064352E+2	4,375000E+2	1,120240E+2	4,375000E+2	1,155975E+2
4,390625E+2	6,287653E+1	4,390625E+2	7,431715E+1	4,390625E+2	8,434421E+1	4,390625E+2	9,503123E+1	4,390625E+2	1,054483E+2	4,390625E+2	1,117715E+2	4,390625E+2	1,157022E+2
4,406250E+2	6,247326E+1	4,406250E+2	7,379032E+1	4,406250E+2	8,491446E+1	4,406250E+2	9,505832E+1	4,406250E+2	1,060864E+2	4,406250E+2	1,116798E+2	4,406250E+2	1,150017E+2
4,421875E+2	6,376918E+1	4,421875E+2	7,380480E+1	4,421875E+2	8,537255E+1	4,421875E+2	9,499690E+1	4,421875E+2	1,062861E+2	4,421875E+2	1,103324E+2	4,421875E+2	1,159699E+2
4,437500E+2	6,445681E+1	4,437500E+2	7,299097E+1	4,437500E+2	8,568110E+1	4,437500E+2	9,478384E+1	4,437500E+2	1,064943E+2	4,437500E+2	1,114883E+2	4,437500E+2	1,160919E+2
4,453125E+2	6,411701E+1	4,453125E+2	7,441825E+1	4,453125E+2	8,399135E+1	4,453125E+2	9,500123E+1	4,453125E+2	1,065263E+2	4,453125E+2	1,127949E+2	4,453125E+2	1,175304E+2
4,468750E+2	6,514684E+1	4,468750E+2	7,570482E+1	4,468750E+2	8,425908E+1	4,468750E+2	9,529412E+1	4,468750E+2	1,068425E+2	4,468750E+2	1,123273E+2	4,468750E+2	1,176475E+2
4,484375E+2	6,539771E+1	4,484375E+2	7,556241E+1	4,484375E+2	8,508310E+1	4,484375E+2	9,575848E+1	4,484375E+2	1,072609E+2	4,484375E+2	1,118031E+2	4,484375E+2	1,172855E+2
4,500000E+2	6,593212E+1	4,500000E+2	7,593810E+1	4,500000E+2	8,521549E+1	4,500000E+2	9,626676E+1	4,500000E+2	1,076872E+2	4,500000E+2	1,128120E+2	4,500000E+2	1,178636E+2
4,515625E+2	6,653210E+1	4,515625E+2	7,639855E+1	4,515625E+2	8,516940E+1	4,515625E+2	9,678395E+1	4,515625E+2	1,077882E+2	4,515625E+2	1,124263E+2	4,515625E+2	1,177189E+2
4,531250E+2	6,628414E+1	4,531250E+2	7,658519E+1	4,531250E+2	8,515737E+1	4,531250E+2	9,731930E+1	4,531250E+2	1,077897E+2	4,531250E+2	1,118138E+2	4,531250E+2	1,169133E+2
4,546875E+2	6,557296E+1	4,546875E+2	7,635824E+1	4,546875E+2	8,636784E+1	4,546875E+2	9,684905E+1	4,546875E+2	1,088815E+2	4,546875E+2	1,123520E+2	4,546875E+2	1,165962E+2
4,562500E+2	6,646383E+1	4,562500E+2	7,573097E+1	4,562500E+2	8,693314E+1	4,562500E+2	9,633885E+1	4,562500E+2	1,093682E+2	4,562500E+2	1,126406E+2	4,562500E+2	1,173465E+2
4,578125E+2	6,623008E+1	4,578125E+2	7,632107E+1	4,578125E+2	8,685351E+1	4,578125E+2	9,738366E+1	4,578125E+2	1,082878E+2	4,578125E+2	1,135872E+2	4,578125E+2	1,173781E+2
4,593750E+2	6,699275E+1	4,593750E+2	7,697367E+1	4,593750E+2	8,826224E+1	4,593750E+2	9,818624E+1	4,593750E+2	1,079863E+2	4,593750E+2	1,138036E+2	4,593750E+2	1,174378E+2
4,609375E+2	6,703667E+1	4,609375E+2	7,757748E+1	4,609375E+2	8,796287E+1	4,609375E+2	9,792559E+1	4,609375E+2	1,084468E+2	4,609375E+2	1,132292E+2	4,609375E+2	1,180064E+2
4,625000E+2	6,739542E+1	4,625000E+2	7,807611E+1	4,625000E+2	8,711256E+1	4,625000E+2	9,786484E+1	4,625000E+2	1,077385E+2	4,625000E+2	1,134280E+2	4,625000E+2	1,186063E+2
4,640625E+2	6,717946E+1	4,640625E+2	7,772921E+1	4,640625E+2	8,756223E+1	4,640625E+2	9,795447E+1	4,640625E+2	1,069620E+2	4,640625E+2	1,135308E+2	4,640625E+2	1,186962E+2
4,656250E+2	6,774214E+1	4,656250E+2	7,757142E+1	4,656250E+2	8,747906E+1	4,656250E+2	9,783837E+1	4,656250E+2	1,072417E+2	4,656250E+2	1,137239E+2	4,656250E+2	1,178357E+2
4,671875E+2	6,744530E+1	4,671875E+2	7,829153E+1	4,671875E+2	8,714242E+1	4,671875E+2	9,737638E+1	4,671875E+2	1,078009E+2	4,671875E+2	1,136485E+2	4,671875E+2	1,174704E+2
4,687500E+2	6,862588E+1	4,687500E+2	7,810886E+1	4,687500E+2	8,669144E+1	4,687500E+2	9,765194E+1	4,687500E+2	1,083110E+2	4,687500E+2	1,131643E+2	4,687500E+2	1,177967E+2
