Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
1,184375E+3	9,999740E+1
1,185937E+3	9,999929E+1
1,187500E+3	1,000012E+2
1,189062E+3	1,000007E+2
1,190625E+3	1,000002E+2
1,192187E+3	9,999932E+1
1,193750E+3	9,999840E+1
1,195312E+3	9,999699E+1
1,196875E+3	9,999558E+1
1,198437E+3	9,999549E+1
1,200000E+3	9,999540E+1
1,201562E+3	9,999566E+1
1,203125E+3	9,999592E+1
1,204687E+3	9,999732E+1
1,206250E+3	9,999873E+1
1,207812E+3	9,999686E+1
1,209375E+3	9,999500E+1
1,210937E+3	9,999512E+1
1,212500E+3	9,999523E+1
1,214062E+3	9,999577E+1
1,215625E+3	9,999630E+1
1,217187E+3	9,999741E+1
1,218750E+3	9,999852E+1
1,220312E+3	9,999559E+1
1,221875E+3	9,999266E+1
1,223437E+3	9,999432E+1
1,225000E+3	9,999597E+1
1,226562E+3	1,000138E+2
1,228125E+3	1,000315E+2
1,229687E+3	9,999973E+1
1,231250E+3	9,996781E+1
1,232812E+3	9,997156E+1
1,234375E+3	9,997530E+1
1,235937E+3	9,998430E+1
1,237500E+3	9,999329E+1
1,239062E+3	9,999559E+1
1,240625E+3	9,999790E+1
1,242187E+3	1,000002E+2
1,243750E+3	1,000025E+2
1,245312E+3	1,000011E+2
1,246875E+3	9,999979E+1
1,248437E+3	9,999851E+1
1,250000E+3	9,999723E+1
1,251562E+3	9,999808E+1
1,253125E+3	9,999893E+1
1,254687E+3	9,999875E+1
1,256250E+3	9,999857E+1
1,257812E+3	9,999890E+1
1,259375E+3	9,999923E+1
1,260937E+3	9,999887E+1
1,262500E+3	9,999851E+1
1,264062E+3	9,999827E+1
1,265625E+3	9,999803E+1
1,267187E+3	9,999769E+1
1,268750E+3	9,999736E+1
1,270312E+3	9,999671E+1
1,271875E+3	9,999606E+1
1,273437E+3	9,999713E+1
1,275000E+3	9,999820E+1
1,276562E+3	9,999862E+1
1,278125E+3	9,999904E+1
1,279687E+3	9,999758E+1
1,281250E+3	9,999612E+1
1,282812E+3	9,999762E+1
1,284375E+3	9,999912E+1
1,285937E+3	9,999954E+1
1,287500E+3	9,999997E+1
1,289062E+3	9,999770E+1
1,290625E+3	9,999543E+1
1,292187E+3	9,999478E+1
1,293750E+3	9,999412E+1
1,295312E+3	9,999343E+1
1,296875E+3	9,999273E+1
1,298437E+3	9,999306E+1
1,300000E+3	9,999339E+1
1,301562E+3	9,999439E+1
1,303125E+3	9,999539E+1
1,304687E+3	1,000004E+2
1,306250E+3	1,000053E+2
1,307812E+3	1,000046E+2
1,309375E+3	1,000039E+2
