Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,500000E+2	6,825765E+1	4,500000E+2	7,938676E+1	4,500000E+2	8,876920E+1	4,500000E+2	9,815742E+1	4,500000E+2	1,083683E+2	4,500000E+2	1,119150E+2	4,500000E+2	1,166776E+2
4,515625E+2	6,890969E+1	4,515625E+2	7,901786E+1	4,515625E+2	8,873391E+1	4,515625E+2	9,744531E+1	4,515625E+2	1,081235E+2	4,515625E+2	1,123871E+2	4,515625E+2	1,172915E+2
4,531250E+2	6,792698E+1	4,531250E+2	7,824530E+1	4,531250E+2	8,894603E+1	4,531250E+2	9,715322E+1	4,531250E+2	1,079677E+2	4,531250E+2	1,123534E+2	4,531250E+2	1,167192E+2
4,546875E+2	6,778878E+1	4,546875E+2	7,744325E+1	4,546875E+2	8,837616E+1	4,546875E+2	9,751578E+1	4,546875E+2	1,078318E+2	4,546875E+2	1,127912E+2	4,546875E+2	1,162759E+2
4,562500E+2	6,730232E+1	4,562500E+2	7,798976E+1	4,562500E+2	8,800924E+1	4,562500E+2	9,837354E+1	4,562500E+2	1,062485E+2	4,562500E+2	1,126296E+2	4,562500E+2	1,167531E+2
4,578125E+2	6,765535E+1	4,578125E+2	7,814258E+1	4,578125E+2	8,847515E+1	4,578125E+2	9,738908E+1	4,578125E+2	1,063317E+2	4,578125E+2	1,126109E+2	4,578125E+2	1,157369E+2
4,593750E+2	6,781095E+1	4,593750E+2	7,742747E+1	4,593750E+2	8,824802E+1	4,593750E+2	9,745752E+1	4,593750E+2	1,067815E+2	4,593750E+2	1,121455E+2	4,593750E+2	1,156041E+2
4,609375E+2	6,713279E+1	4,609375E+2	7,753114E+1	4,609375E+2	8,861284E+1	4,609375E+2	9,860969E+1	4,609375E+2	1,059107E+2	4,609375E+2	1,131789E+2	4,609375E+2	1,170893E+2
4,625000E+2	6,635910E+1	4,625000E+2	7,705919E+1	4,625000E+2	8,708550E+1	4,625000E+2	9,788954E+1	4,625000E+2	1,071341E+2	4,625000E+2	1,134683E+2	4,625000E+2	1,181437E+2
4,640625E+2	6,686816E+1	4,640625E+2	7,610804E+1	4,640625E+2	8,708829E+1	4,640625E+2	9,763993E+1	4,640625E+2	1,074780E+2	4,640625E+2	1,124132E+2	4,640625E+2	1,171338E+2
4,656250E+2	6,695846E+1	4,656250E+2	7,594802E+1	4,656250E+2	8,747622E+1	4,656250E+2	9,699678E+1	4,656250E+2	1,068222E+2	4,656250E+2	1,123236E+2	4,656250E+2	1,164930E+2
4,671875E+2	6,701328E+1	4,671875E+2	7,653148E+1	4,671875E+2	8,692308E+1	4,671875E+2	9,641583E+1	4,671875E+2	1,077064E+2	4,671875E+2	1,114058E+2	4,671875E+2	1,171388E+2
4,687500E+2	6,713622E+1	4,687500E+2	7,730397E+1	4,687500E+2	8,754813E+1	4,687500E+2	9,685016E+1	4,687500E+2	1,076816E+2	4,687500E+2	1,107324E+2	4,687500E+2	1,161737E+2
4,703125E+2	6,528895E+1	4,703125E+2	7,660271E+1	4,703125E+2	8,737484E+1	4,703125E+2	9,658537E+1	4,703125E+2	1,079689E+2	4,703125E+2	1,114232E+2	4,703125E+2	1,164384E+2
4,718750E+2	6,542203E+1	4,718750E+2	7,651836E+1	4,718750E+2	8,761349E+1	4,718750E+2	9,676565E+1	4,718750E+2	1,076696E+2	4,718750E+2	1,111560E+2	4,718750E+2	1,156097E+2
