Partie réelle               Partie imaginaire
551.517283570332            199.396364475659
551.628626589103            199.134493005288
551.739944644208            198.874175412228
551.851234289513            198.61540832978
551.962492075884            198.358188399024
552.073714551202            198.102512268626
552.184898260378            197.848376594642
552.29603974537            197.595778040326
552.407135545201            197.344713275932
552.518182195974            197.09517897853
552.629176230892            196.847171831811
552.74011418028            196.600688525898
552.850992571597            196.355725757158
552.961807929465            196.112280228012
553.072556775686            195.870348646751
553.183235629264            195.629927727351
553.293841006429            195.391014189285
553.40436942066            195.153604757338
553.514817382708            194.917696161431
553.625181400622            194.68328513643
553.735457979777            194.450368421973
553.845643622896            194.218942762284
553.955734830078            193.989004905996
554.06572809883            193.760551605974
554.17561992409            193.533579619134
554.285406798259            193.308085706271
554.395085211234            193.084066631878
554.50465165043            192.861519163978
554.614102600823            192.640440073944
554.723434544973            192.420826136329
554.832643963062            192.202674128696
554.941727332928            191.985980831441
555.050681130094            191.770743027632
555.159501827811            191.556957502828
555.268185897089            191.344621044922
555.376729806735            191.133730443966
555.485130023391            190.924282492008
555.593383011572            190.716273982924
555.701485233705            190.509701712256
555.80943315017            190.304562477045
555.917223219338            190.10085307567
556.024851897616            189.898570307686
556.132315639484            189.697710973661
556.239610897545            189.498271875017
556.346734122561            189.300249813871
556.453681763504            189.103641592873
556.560450267595            188.908444015054
556.667036080357            188.714653883663
556.773435645654            188.522268002015
556.879645405745            188.331283173335
556.98566180133            188.141696200603
557.091481271595            187.953503886403
557.19710025427            187.766703032765
557.302515185672            187.581290441019
557.40772250076            187.397262911644
557.512718633186            187.214617244114
557.61750001535            187.033350236752
557.722063078449            186.853458686582
557.826404252537            186.67493938918
557.930519966576            186.497789138532
558.034406648493            186.322004726881
558.138060725238            186.14758294459
558.241478622841            185.974520579994
558.344656766468            185.802814419259
558.447591580484            185.632461246238
558.550279488508            185.463457842334
558.652716913479            185.295800986354
558.754900277712            185.129487454375
558.856826002966            184.964514019605
558.9584905105            184.800877452241
559.059890221141            184.638574519337
559.16102155535            184.47760198467
559.261880933281            184.317956608596
559.362464774854            184.159635147928
559.462769499816            184.002634355795
559.562791527812            183.846950981511
559.662527278451            183.692581770448
559.761973171378            183.5395234639
559.86112562634            183.38777279896
559.959981063259            183.237326508384
560.058535902303            183.08818132047
560.156786563957            182.940333958929
560.254729469097            182.793781142758
560.352361039063            182.648519586117
560.449677695733            182.504545998206
560.546675861598            182.361857083139
560.643351959839            182.220449539824
560.739702414402            182.080320061844
560.835723650077            181.941465337331
560.931412092575            181.803882048853
561.026764168607            181.667566873293
561.12177630596            181.532516481731
561.216444933587            181.398727539329
561.310766481678            181.266196705217
561.404737381745            181.134920632374
561.498354066707            181.00489596752
561.59161297097            180.876119350999
561.684510530513            180.748587416671
561.777043182971            180.622296791797
561.869207367723            180.497244096937
561.960999525975            180.373425945831
562.05241610085            180.250838945302
562.143453537471            180.129479695142
562.234108283055            180.009344788007
562.324376786998            179.890430809318
562.414255500967            179.772734337149
562.503740878988            179.656251942132
562.59282937754            179.540980187351
562.681517455643            179.426915628241
562.769801574956            179.314054812492
562.857678199865            179.202394279946
562.945143797579            179.091930562501
563.032194838226            178.982660184018
563.118827794945            178.874579660217
563.205039143986            178.767685498594
563.290825364803            178.661974198315
563.376182940153            178.557442250133
563.461108356194            178.454086136294
563.545598102584            178.351902330443
563.629648672579            178.25088729754
563.713256563134            178.151037493767
563.796418275003            178.052349366446
563.879130312841            177.954819353947
563.961389185306            177.858443885607
564.04319140516            177.763219381644
564.124533489374            177.669142253078
564.20541195923            177.576208901641
564.285823340429            177.484415719706
564.365764163191            177.3937590902
564.445230962364            177.304235386527
564.524220277531            177.215840972495
564.602728653113            177.128572202234
564.680752638481            177.042425420122
564.758288788061            176.957396960714
564.835333661444            176.873483148666
564.911883823497            176.790680298663
564.987935844466            176.708984715349
565.063486300097            176.62839269326
565.138531771738            176.548900516749
565.213068846455            176.470504459926
565.287094117142            176.393200786585
565.360604182636            176.316985750146
565.433595647827            176.241855593584
565.506065123778            176.167806549372
565.578009227829            176.094834839415
565.649424583722            176.022936674992
565.720307821711            175.952108256698
565.79065557868            175.882345774381
565.860464498256            175.813645407091
565.929731230929            175.74600332302
565.998452434171            175.67941567945
566.066624772549            175.613878622696
566.134244917846            175.549388288062
566.20130954918            175.485940799778
566.267815353125            175.423532270961
566.333759023824            175.362158803562
566.399137263117            175.301816488316
566.463946780659            175.242501404704
566.52818429404            175.184209620897
566.591846528904            175.126937193724
566.654930219078            175.07068016862
566.717432106689            175.015434579591
566.779348942287            174.96119644917
566.840677484971            174.907961788383
566.90141450251            174.855726596706
566.961556771467            174.804486862032
567.021101077325            174.754238560638
567.080044214611            174.704977657145
567.13838298702            174.656700104494
567.196114207541            174.609401843907
567.253234698584            174.563078804862
567.309741292104            174.517726905063
567.365630829729            174.473342050411
567.420900162886            174.429920134983
567.475546152929            174.387457041
567.529565671263            174.345948638811
567.582955599477            174.305390786864
567.635712829468            174.265779331691
567.68783426357            174.227110107883
567.739316814682            174.189378938079
567.7901574064            174.152581632939
567.84035297314            174.116713991139
567.889900460273            174.081771799348
